inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_chembl,vivo_faers
PFGWGEPQIUAZME-UHFFFAOYSA-N,CNCC(=O)NC(CCCN=C(N)N)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(C)C(=O)O)C(C)C)C(C)C,Saralasin,,,,,weak,,
SQKRUBZPTNJQEM-UHFFFAOYSA-N,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC(C)CO,methanandamide,,,,,medium,,
ODZFJAXAEXQSKL-UHFFFAOYSA-N,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)(O)C(C)C)CC(O)CC1O,"1,24-dihydroxyvitamin D2",,,,,weak,,
FATBGEAMYMYZAF-UHFFFAOYSA-N,CCCCCCCCC=CCCCCCCCC(N)=O,oleylamide,,,,,weak,,
RLQZIECDMISZHS-UHFFFAOYSA-N,O=C1C=CC(=O)C(c2ccccc2)=C1,phenylbenzoquinone,,,,,medium,,
HSMVPDGQOIQYSR-UHFFFAOYSA-N,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,triflumizol,,,,,medium,,
DYAHQFWOVKZOOW-UHFFFAOYSA-N,CC(C)OP(C)(=O)F,Sarin,,,,,medium,,
JUDKOGFHZYMDMF-UHFFFAOYSA-N,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,"2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine",,,,,medium,,
IYSYLWYGCWTJSG-UHFFFAOYSA-N,CC(C)(C)[N+]([O-])=Cc1ccccc1,phenyl-N-tert-butylnitrone,,,,,medium,,
QHZLMUACJMDIAE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,palmitoyl glycerol,,,,,weak,,
YBYRMVIVWMBXKQ-UHFFFAOYSA-N,O=S(=O)(F)Cc1ccccc1,Phenylmethylsulfonyl Fluoride,,,,,weak,,
AQBZCCQCDWNNJQ-UHFFFAOYSA-N,COc1cc2c(cc1OC)C1(O)C(=O)c3ccc4c(c3OC1CO2)C=CC(C)(C)O4,tephrosin,,,,,medium,,
BZAFROBDXRJYTQ-UHFFFAOYSA-N,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC12)c1cc(O)c(O)c(Oc2c(C(=O)OC3OC4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)OC4C4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)OC34)cc(O)c(O)c2O)c1,agrimoniin,,,,,weak,,
NEZONWMXZKDMKF-UHFFFAOYSA-N,CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,alkannin,,,,,medium,,
SHIBSTMRCDJXLN-UHFFFAOYSA-N,CC12CCC(O)CC1CCC1C2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O,Digoxigenin,,,,,medium,,
ITWBWJFEJCHKSN-UHFFFAOYSA-N,C1CNCCNCCN1,"1,4,7-triazacyclononane",,,,,weak,,
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1,cumene,,,,,medium,,
