inchi_key,canonical_smiles,name
JADDQZYHOWSFJD-UHFFFAOYSA-N,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,Adenosine-5'-(N-ethylcarboxamide)
WCPAKWJPBJAGKN-UHFFFAOYSA-N,c1conn1,Oxadiazoles
PWAOOJDMFUQOKB-UHFFFAOYSA-N,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)CC12C,ginsenoside Re
DEZFNHCVIZBHBI-UHFFFAOYSA-N,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O,rottlerin
ZPTSRWNMMWXEHX-UHFFFAOYSA-N,C=C1CCC2C(C)(C)CCCC2(C)C1CO,albicanol
IBIPGYWNOBGEMH-UHFFFAOYSA-N,CC(=O)OCC1=CC2OC(=O)C3=COC(OC4OC(CO)C(O)C(O)C4O)C1C32,asperuloside
JEKMKNDURXDJAD-UHFFFAOYSA-N,CC12C=Cc3occc3C1CCC13CC(CCC12)C(O)(CO)C3,kahweol
YCXRBCHEOFVYEN-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,sciadopitysin
IMKHDCBNRDRUEB-UHFFFAOYSA-N,CC1(C)CCCC2(C)OC(=O)C=C12,dihydroactinidiolide
HGHOPAZIUPORIN-UHFFFAOYSA-N,CC(C)=CCc1c2c(c(O)c3c(=O)c(-c4ccc(O)cc4)coc13)C=CC(C)(C)O2,warangalone
DFMMVLFMMAQXHZ-UHFFFAOYSA-N,CC(C=O)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,apocarotenal
MRIAQLRQZPPODS-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,nobiletin
AQBZCCQCDWNNJQ-UHFFFAOYSA-N,COc1cc2c(cc1OC)C1(O)C(=O)c3ccc4c(c3OC1CO2)C=CC(C)(C)O4,tephrosin
BZAFROBDXRJYTQ-UHFFFAOYSA-N,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC12)c1cc(O)c(O)c(Oc2c(C(=O)OC3OC4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)OC4C4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)OC34)cc(O)c(O)c2O)c1,agrimoniin
SHIBSTMRCDJXLN-UHFFFAOYSA-N,CC12CCC(O)CC1CCC1C2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O,Digoxigenin
KKJZEUXMWDXPAU-UHFFFAOYSA-N,NC1=CC(=Nc2ccc(N)cc2)C(N)=CC1=Nc1ccc(N)cc1,Bandrowski's base
UMZARYXKQBKPOL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC1(O)CC23CCC4c5ccoc5C=CC4(C)C2CCC1C3,kahweol palmitate
UVYVLBIGDKGWPX-UHFFFAOYSA-N,CC1CCC2(OC1)OC1C(O)C3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C,Digitonin
AZKVWQKMDGGDSV-UHFFFAOYSA-N,COC(=O)C1=COC(O)C2C(CO)=CCC12,genipin
SDHTXBWLVGWJFT-UHFFFAOYSA-N,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,oridonin
IEORSVTYLWZQJQ-UHFFFAOYSA-N,CCCCCCCCCc1ccccc1OCCO,terics
WEKCEGQSIIQPAQ-UHFFFAOYSA-N,COc1cc(C2OCC3C(c4cc(OC)c(OC5OC(CO)C(O)C(O)C5O)c(OC)c4)OCC23)cc(OC)c1O,acanthoside B
YNGDWRXWKFWCJY-UHFFFAOYSA-N,C1=CNC=CC1,"1,4-dihydropyridine"
DSRJIHMZAQEUJV-UHFFFAOYSA-N,O=C(NN=C1CCCCC1)C(=O)NN=C1CCCCC1,Cuprizone
FEALTYYKRMRXTG-UHFFFAOYSA-N,CC(C)=CCc1cc(C(=O)C=Cc2ccc(O)c(O)c2)c(O)cc1O,broussochalcone A
VVJDHJZQBGWPEQ-UHFFFAOYSA-N,COC1C=CC=CC=CCC(OC(=O)C(C)NC(=O)C2CCCCC2)C(C)C(O)C(C)=CCCc2cc(O)cc(c2O)NC(=O)C1,mycotrienin II
UBJVUCKUDDKUJF-UHFFFAOYSA-N,C=CCSCC=C,allyl sulfide
INYYVPJSBIVGPH-UHFFFAOYSA-N,COC1=CC2C3Cc4ccc(OC)c(O)c4C2(CCN3C)CC1=O,sinomenine
ADFWQBGTDJIESE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,anacardic acid
BGYNLOSBKBOJJD-UHFFFAOYSA-N,COC1=C(Br)C(O)C(O)(CC#N)C=C1Br,aeroplysinin I
